id_jugador;nombre_jugador;id_equipo;estado;score_temporada;score_reciente;evolucion
443163;Pablo García;543;Pocos minutos;4.12;0.0;0.0
3033;Cédric Bakambu;543;Pocos minutos;4.28;0.0;0.0
46990;Álvaro Valles;543;Estable;4.46;4.48;0.02
355004;Valentín Gómez;543;Estable;4.78;4.52;-0.26
334574;Angel Ortiz;543;Estable;4.41;4.45;0.04
1564;Junior Firpo;543;Estable;4.76;4.5;-0.26
128985;Iker Losada;539;Estable;4.35;4.57;0.22
11346;Matías Dituro;797;Pocos minutos;4.83;0.0;0.0
182661;Alvaro Núñez;797;Estable;4.88;4.95;0.07
126640;David Affengruber;797;Estable;4.88;4.61;-0.27
47378;Pedro Bigas;797;Estable;4.88;4.71;-0.18
157146;Léo Pétrot;797;Estable;4.38;4.48;0.1
46711;Aleix Febas;797;Estable;5.54;5.46;-0.08
187318;Marc Aguado;797;Estable;4.52;4.58;0.06
448243;Ali Houary;797;Pocos minutos;4.27;0.0;0.0
161963;Germán Valera;797;Rendimiento Alto;5.15;5.48;0.33
343202;Álvaro Rodriguez;797;Rendimiento Alto;5.07;5.7;0.64
341371;Rodrigo Mendoza;797;Rendimiento Bajo;4.47;4.14;-0.33
46771;Jairo Izquierdo;797;Pocos minutos;4.02;0.0;0.0
271580;Martim Neto;797;Rendimiento Alto;4.89;5.25;0.37
119223;Mourad El Ghezouani;797;Pocos minutos;4.51;0.0;0.0
47013;Rafa Mir;797;Estable;4.5;4.77;0.28
189866;John Donald;797;Pocos minutos;4.51;0.0;0.0
162058;Víctor Chust;797;Estable;4.8;4.7;-0.1
8746;Bambo Diaby;797;Pocos minutos;3.58;0.0;0.0
311345;Federico Redondo;797;Pocos minutos;3.99;0.0;0.0
2063;André Silva;797;Rendimiento Bajo;4.43;4.04;-0.39
29;Jan Oblak;530;Estable;4.46;4.52;0.05
753;Marcos Llorente;530;Estable;4.83;5.01;0.18
47301;Robin Le Normand;530;Pocos minutos;4.57;0.0;0.0
30399;Dávid Hancko;530;Estable;4.63;4.72;0.09
162012;Matteo Ruggeri;530;Estable;4.53;4.36;-0.17
67972;Conor Gallagher;530;Estable;4.4;4.58;0.19
133185;Johnny Cardoso;530;Estable;4.81;4.75;-0.06
323935;Giuliano Simeone;530;Estable;5.05;4.93;-0.12
182219;Alejandro Baena;530;Estable;5.15;4.98;-0.17
6067;Thiago Almada;530;Rendimiento Bajo;5.03;4.53;-0.51
6009;Julián Alvarez;530;Rendimiento Bajo;4.68;4.32;-0.36
50;Koke;530;Estable;5.02;5.03;0.01
336594;Pablo Barrios;530;Estable;5.26;5.26;-0.0
30543;Giacomo Raspadori;530;Pocos minutos;3.97;0.0;0.0
56;Antoine Griezmann;530;Estable;4.34;4.18;-0.17
8492;Alexander Sørloth;530;Estable;4.77;4.88;0.1
2465;Juan Musso;530;Pocos minutos;4.44;0.0;0.0
133;Clément Lenglet;530;Estable;4.5;4.72;0.22
295793;Marc Pubill;530;Estable;5.62;5.67;0.05
47566;Javi Galán;727;Rendimiento Alto;4.95;5.58;0.63
