id_partido;id_jugador;id_equipo;posicion;minutos;nota;capitan;sustituto;goles;penaltis_marcados;asistencias;paradas;goles_concedidos;tiros_totales;tiros_a_puerta;pases_totales;pases_clave;precision_pases;regates_intentados;regates;regateado;duelos_totales;duelos_ganados;faltas_cometidas;faltas_recibidas;entradas;bloqueos;intercepciones;amarilla;roja;penaltis_parados
1390974;278619;533;P;90;7.0;False;False;0;0;0;4;0;0;0;25;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0
1390974;311773;533;DF;90;6.9;False;False;0;0;0;0;0;0;0;34;2;26;0;0;4;16;7;5;1;5;0;2;0;0;0
1390974;435552;533;DF;90;7.6;False;False;0;0;0;0;0;0;0;43;1;38;0;0;1;10;8;0;1;5;0;0;0;0;0
1390974;237066;533;DF;79;7.2;False;False;0;0;0;0;0;0;0;31;2;30;0;0;0;6;2;1;1;0;1;1;0;0;0
1390974;70500;533;DF;90;7.7;False;False;0;0;0;0;0;1;0;31;0;28;2;1;0;11;7;1;1;5;2;2;0;0;0
1390974;3246;533;M;90;7.0;False;False;0;0;1;0;0;3;1;35;1;24;5;5;1;11;7;1;0;0;0;0;1;0;0
1390974;47541;533;M;90;7.2;True;False;0;0;0;0;0;0;0;40;0;34;1;0;1;9;4;1;0;3;0;1;1;0;0
1390974;20696;533;M;79;7.5;False;False;0;0;0;0;0;2;0;36;2;29;1;0;0;11;5;3;2;0;0;1;1;0;0
1390974;182519;533;M;88;6.2;False;False;0;0;0;0;0;2;0;23;1;17;3;1;2;14;3;3;0;2;0;0;0;0;0
1390974;18906;533;DL;71;5.9;False;False;0;0;0;0;0;1;1;9;0;7;3;0;2;17;4;4;3;1;0;0;1;0;0
1390974;180496;533;DL;89;7.9;False;False;1;0;0;0;0;2;2;22;1;17;3;1;0;10;6;0;4;0;0;0;0;0;0
1390974;1702;533;DF;19;6.6;False;True;0;0;0;0;0;2;2;5;0;4;2;2;0;3;2;0;0;0;0;0;0;0;0
1390974;336671;533;M;11;7.2;False;True;0;0;0;0;0;0;0;4;1;4;0;0;0;3;2;1;0;0;1;0;0;0;0
1390974;49;533;M;11;7.0;False;True;0;0;0;0;0;0;0;5;0;5;0;0;0;1;1;0;0;0;1;0;0;0;0
1390974;355994;533;DF;8;6.7;False;True;0;0;0;0;0;0;0;1;0;0;1;0;0;3;1;0;0;1;0;0;0;0;0
1390974;351587;533;DL;1;0.0;False;True;0;0;0;0;0;0;0;1;0;1;0;0;0;3;2;0;0;0;0;0;0;0;0
1390974;162473;533;P;0;0.0;False;True;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1390974;463280;533;M;0;0.0;False;True;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1390974;51016;533;DL;0;0.0;False;True;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1390974;514913;533;DL;0;0.0;False;True;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
