id_jugador;nombre_jugador;id_equipo;posicion;estado;score_temporada;score_reciente;evolucion
146751;Raúl García;727;Delantero;Pocos minutos;1.55;0.0;0.0
429553;Mauro Echegoyen;727;Mediocentro;Pocos minutos;0.0;0.0;0.0
46646;Sergio Herrera;727;Portero;Rendimiento Alto;2.24;6.05;3.81
46658;Rubén García;727;Delantero;Rendimiento Alto;2.05;6.59;4.54
46662;Moncayola;727;Mediocentro;Rendimiento Alto;1.85;33.03;31.18
46667;Kike Barja;727;Delantero;Pocos minutos;0.27;0.0;0.0
46746;A. Budimir;727;Delantero;Rendimiento Alto;2.5;7.38;4.88
1825;Lucas Torró;727;Mediocentro;Rendimiento Alto;0.7;26.48;25.78
46967;Juan Cruz;727;Defensa;Pocos minutos;1.75;0.0;0.0
348029;D. Stamatakis;727;Portero;Pocos minutos;0.0;0.0;0.0
47109;Óscar Valentín;728;Mediocentro;Rendimiento Alto;0.17;28.99;28.82
358431;N. Mendy;728;Defensa;Estable;4.95;4.57;-0.38
20520;I. Balliu;728;Defensa;Estable;2.07;4.18;2.12
52;Sergio Camello;728;Delantero;Rendimiento Alto;1.31;5.08;3.77
47285;Unai López;728;Mediocentro;Rendimiento Alto;2.19;48.86;46.67
47414;Gumbau;728;Mediocentro;Rendimiento Alto;0.93;22.0;21.07
47543;Álvaro García;728;Mediocentro;Rendimiento Alto;1.57;17.29;15.72
47557;Ó. Trejo;728;Mediocentro;Pocos minutos;0.6;0.0;0.0
18895;F. Lejeune;728;Defensa;Rendimiento Bajo;7.69;6.76;-0.92
131546;Isi Palazón;728;Mediocentro;Rendimiento Alto;2.45;34.84;32.39
41552;P. Ciss;728;Mediocentro;Rendimiento Alto;3.4;43.91;40.51
314006;J. Vertrouwd;728;Defensa;Pocos minutos;2.67;0.0;0.0
285505;Juanpe;728;Portero;Pocos minutos;0.0;0.0;0.0
156488;Dani Cárdenas;728;Portero;Pocos minutos;0.0;0.0;0.0
478243;Marco de las Sías;728;Defensa;Pocos minutos;0.0;0.0;0.0
478244;Adrián Molina;728;Portero;Pocos minutos;0.0;0.0;0.0
11379;A. Batalla;728;Portero;Estable;1.16;4.04;2.88
162931;Fran Pérez;728;Mediocentro;Rendimiento Alto;1.06;13.56;12.51
324750;Carlos Martín;728;Mediocentro;Rendimiento Alto;0.67;16.95;16.28
439633;Samu Becerra;728;Mediocentro;Pocos minutos;0.33;0.0;0.0
181734;Pep Chavarría;728;Defensa;Rendimiento Bajo;7.68;5.42;-2.25
333292;Pelayo Fernández;728;Defensa;Pocos minutos;5.0;0.0;0.0
128582;Jorge de Frutos;728;Delantero;Estable;3.0;5.83;2.83
91745;Alemão;728;Delantero;Estable;1.15;4.07;2.92
1703;A. Rațiu;728;Defensa;Rendimiento Bajo;8.38;6.67;-1.71
46759;A. Espino;728;Defensa;Estable;3.87;5.27;1.4
122657;R. Nteka;728;Mediocentro;Pocos minutos;0.33;0.0;0.0
46887;Pedro Díaz;728;Mediocentro;Rendimiento Alto;1.17;26.07;24.9
1847;Luiz Felipe;728;Defensa;Pocos minutos;2.54;0.0;0.0
290740;Ilias Akhomach;728;Delantero;Pocos minutos;1.0;0.0;0.0
2063;André Silva;797;Delantero;Estable;2.73;5.46;2.73
307224;Piri;797;Delantero;Pocos minutos;0.0;0.0;0.0
311345;F. Redondo;797;Mediocentro;Pocos minutos;0.0;0.0;0.0
126;Iñaki Peña;797;Portero;Rendimiento Alto;1.76;5.73;3.98
161963;Germán Valera;797;Delantero;Rendimiento Alto;2.9;8.01;5.11
315604;Alejandro Iturbe;797;Portero;Pocos minutos;0.0;0.0;0.0
47329;Adrià Pedrosa;797;Mediocentro;Pocos minutos;1.54;0.0;0.0
162058;Víctor Chust;797;Defensa;Rendimiento Bajo;7.25;6.29;-0.97
47378;Bigas;797;Defensa;Rendimiento Bajo;7.44;5.23;-2.21
635179;Álex Sánchez;797;Delantero;Pocos minutos;1.0;0.0;0.0
508284;Antonio Martinez;797;Mediocentro;Pocos minutos;0.0;0.0;0.0
182661;Álvaro Núñez;797;Defensa;Estable;5.66;5.81;0.15
18821;G. Diangana;797;Delantero;Rendimiento Alto;1.09;4.66;3.57
119223;Mourad;797;Delantero;Pocos minutos;0.5;0.0;0.0
8746;Bambo Diaby;797;Defensa;Pocos minutos;1.2;0.0;0.0
187318;Marc Aguado;797;Mediocentro;Rendimiento Alto;0.2;38.75;38.55
439293;Adam Boayar;797;Delantero;Pocos minutos;1.0;0.0;0.0
580677;David Delgado;797;Defensa;Pocos minutos;0.0;0.0;0.0
11346;M. Dituro;797;Portero;Pocos minutos;1.37;0.0;0.0
343202;Á. Rodríguez;797;Delantero;Rendimiento Alto;3.56;8.11;4.55
271580;Martim Neto;797;Mediocentro;Rendimiento Alto;2.47;29.39;26.92
439640;B. Sina;797;Defensa;Pocos minutos;0.0;0.0;0.0
341371;Rodrigo Mendoza;797;Delantero;Estable;1.6;3.58;1.98
189866;John Nwankwo;797;Defensa;Pocos minutos;2.53;0.0;0.0
157146;L. Pétrot;797;Defensa;Estable;3.6;6.01;2.41
46711;Aleix Febas;797;Mediocentro;Rendimiento Alto;5.14;54.0;48.86
126640;D. Affengruber;797;Defensa;Rendimiento Bajo;9.01;7.54;-1.47
46771;Jairo Izquierdo;797;Defensa;Pocos minutos;0.0;0.0;0.0
448243;Ali Houary;797;Mediocentro;Pocos minutos;0.5;0.0;0.0
284415;Yago Alonso;797;Delantero;Rendimiento Alto;0.86;3.88;3.02
386859;Héctor Fort;797;Defensa;Estable;3.89;5.14;1.25
497515;A. Niculăesei;797;Defensa;Pocos minutos;0.0;0.0;0.0
46973;Josan;797;Mediocentro;Rendimiento Alto;1.67;12.55;10.88
47013;Rafa Mir;797;Delantero;Rendimiento Alto;2.61;6.64;4.03
190485;Samú Costa;798;Mediocentro;Rendimiento Alto;0.89;30.85;29.96
30924;M. Kumbulla;798;Defensa;Estable;3.69;3.52;-0.17
47336;Darder;798;Mediocentro;Rendimiento Alto;2.76;26.19;23.43
47399;Iván Cuéllar;798;Portero;Pocos minutos;0.0;0.0;0.0
414;Omar Mascarell;798;Mediocentro;Rendimiento Alto;0.64;36.87;36.23
551463;J. Olaizola;798;Defensa;Pocos minutos;0.0;0.0;0.0
297646;D. Luna;798;Mediocentro;Pocos minutos;0.0;0.0;0.0
107194;Antonio Sánchez;798;Mediocentro;Rendimiento Alto;0.59;19.81;19.22
293604;Javi Llabrés;798;Delantero;Pocos minutos;0.27;0.0;0.0
64268;J. Mojica;798;Defensa;Estable;6.21;6.18;-0.03
25375;T. Asano;798;Mediocentro;Pocos minutos;0.29;0.0;0.0
50048;V. Muriqi;798;Delantero;Rendimiento Alto;3.9;8.84;4.94
920;Toni Lato;798;Defensa;Pocos minutos;3.63;0.0;0.0
179139;Leo Román;798;Portero;Rendimiento Alto;1.61;5.41;3.79
181210;Nil Torreguitart;798;Portero;Pocos minutos;0.0;0.0;0.0
482473;Marc Domenech;798;Delantero;Pocos minutos;0.43;0.0;0.0
285909;Pablo Torre;798;Mediocentro;Pocos minutos;1.42;0.0;0.0
152955;L. Bergström;798;Portero;Pocos minutos;1.32;0.0;0.0
